2025-04-29 14:42:44.389272: Antarctica | -44.23°C | overcast clouds | Humidity: 100%
2025-04-29 14:42:50.638189: New York | 12.99°C | clear sky | Humidity: 55%
2025-04-29 14:42:50.954079: London | 18.7°C | clear sky | Humidity: 55%
2025-04-29 14:42:51.145393: Tokyo | 20.73°C | scattered clouds | Humidity: 30%
2025-04-29 14:42:51.273653: mumbai | 31.99°C | smoke | Humidity: 55%
2025-04-29 14:45:11.844619: Hyderabad | 38.23°C | few clouds | Humidity: 28%
2025-04-29 14:45:12.051922: Nuzvid | 37.47°C | clear sky | Humidity: 22%
2025-04-29 14:45:12.254281: Delhi | 35.05°C | haze | Humidity: 29%
2025-04-29 14:45:16.124198: Vijayawada | 37.97°C | scattered clouds | Humidity: 41%
2025-04-29 14:45:16.267102: Antarctica | -44.23°C | overcast clouds | Humidity: 100%
2025-04-29 14:45:16.396276: New York | 12.97°C | clear sky | Humidity: 55%
